"importId";"name";"code";"description";"internalDescription";"productSubTypeSelect";"productFamily.id";"productCategory.id";"expense";"procurementMethodSelect";"unit.importId";"productTypeSelect";"salePrice";"saleCurrency.code";"purchasePrice";"purchaseCurrency.code";"defaultSupplierPartner.importId";"startDate";"endDate";"saleSupplySelect";"costPrice";"hasWarranty";"warrantyNbrOfMonths";"isPerishable";"perishableNbrOfMonths";"defaultBillOfMaterial.importId";"managPriceCoef";"picture_fileName";"isActivity";"productVariantConfig.importId";"manageVariantPrice"
200;"Disque dur SATA 1To";"COMP-0001";"DD Interne 3,5'' / Capacité : 1 To / Mémoire Tampon : 64 Mo / Vitesse rotation : 7200 trs/min";"DD Interne 3,5'' / Capacité : 1 To / Mémoire Tampon : 64 Mo / Vitesse rotation : 7200 trs/min";3;3;5;"false";"buy";1;"storable";60;"XOF";"46.2";"XOF";148;"TODAY[-4M1d]";;1;54;"true";12;"false";;;"1.4";"img/product/COMP-0001.png";;;
201;"Disque dur SSD 100 Go";"COMP-0002";"DD SSD 100 Go - SATA 6Go/s - 7 mm";"DD SSD 100 Go - SATA 6Go/s - 7 mm";3;3;5;"false";"buy";1;"storable";80;"XOF";"64.8";"XOF";148;"TODAY[-4M1d]";;1;72;"true";12;"false";;;"1.4";"img/product/COMP-0002.png";;;
210;"Processeur 4x3,4 GHz";"COMP-0003";"Processeur 4 cœurs - 8 filetages - 3,4 GHz - 8 Mo Cache";"Processeur 4 cœurs - 8 filetages - 3,4 GHz - 8 Mo Cache";3;3;6;"false";"buy";1;"storable";180;"XOF";"138.6";"XOF";152;"TODAY[-4M1d]";;1;162;"true";12;"false";;;"1.4";"img/product/COMP-0003.jpg";;;
211;"Processeur 6x3,2 GHz";"COMP-0004";"Processeur 6 cœurs - 12 filetages - 3,2 GHz - 8 Mo Cache";"Processeur 6 cœurs - 12 filetages - 3,2 GHz - 8 Mo Cache";3;3;6;"false";"buy";1;"storable";540;"XOF";"448.2";"XOF";152;"TODAY[-4M1d]";;1;486;"true";12;"false";;;"1.4";"img/product/COMP-0004.jpg";;;
220;"Boîtier Rack";"COMP-0005";;;3;3;7;"false";"buy";1;"storable";70;"XOF";"54.6";"XOF";148;"TODAY[-3M1d]";;1;63;"false";;"false";;;"1.4";"img/product/COMP-0005.jpg";;;
230;"Mémoire 8 Go DDR3";"COMP-0006";;;3;3;8;"false";"buy";1;"storable";80;"XOF";"60.8";"XOF";170;"TODAY[-3M1d]";;1;72;"true";12;"false";;;"1.4";"img/product/COMP-0006.jpg";;;
231;"Mémoire 16 Go DDR3";"COMP-0007";;;3;3;8;"false";"buy";1;"storable";160;"XOF";120;"XOF";170;"TODAY[-3M1d]";;1;144;"true";12;"false";;;"1.4";"img/product/COMP-0007.jpg";;;
240;"Carte mère classique";"COMP-0008";;;3;3;9;"false";"buy";1;"storable";150;"XOF";105;"XOF";152;"TODAY[-3M1d]";;1;135;"true";12;"false";;;"1.4";"img/product/COMP-0008.png";;;
241;"Carte mère haut de gamme";"COMP-0009";;;3;3;9;"false";"buy";1;"storable";250;"XOF";"187.5";"XOF";152;"TODAY[-3M1d]";;1;225;"true";12;"false";;;"1.4";"img/product/COMP-0009.jpg";;;
250;"Alimentation";"COMP-0010";;;3;3;9;"false";"buy";1;"storable";40;"XOF";"30.4";"XOF";152;"TODAY[-3M1d]";;1;36;"true";12;"false";;;"1.4";"img/product/COMP-0010.png";;;
300;"Set connectique";"CONS-0001";;;3;4;10;"false";"buy";1;"storable";20;"XOF";"15.6";"XOF";70;;;1;18;"false";;"false";;;"1.4";"img/product/CONS-0001.jpg";;;
301;"Set visserie";"CONS-0002";;;3;4;10;"false";"buy";1;"storable";4;"XOF";"3.16";"XOF";70;;;1;4;"false";;"false";;;"1.4";"img/product/CONS-0002.jpg";;;
302;"Cartouche jet d'encre";"CONS-0003";"Couleur : Black, Magenta, Yellow, Cyan/ Capacité : 1500 copies";"Couleur : Black, Magenta, Yellow, Cyan/ Capacité : 1500 copies";;4;10;"false";"buy";1;"storable";"32.9";"XOF";21;"XOF";70;"TODAY[-1M1d]";;1;"24.35";"false";;"false";;;"1.4";"img/product/CONS-0003.jpg";;;
303;"Cartouche encre laser";"CONS-0004";"Couleur : Black, Magenta, Yellow, Cyan/ Capacité : 2600 copies";"Couleur : Black, Magenta, Yellow, Cyan/ Capacité : 2600 copies";;4;10;"false";"buy";1;"storable";"84.5";"XOF";54;"XOF";70;"TODAY[-1M1d]";;1;"58.75";"false";;"false";;;"1.4";"img/product/CONS-0004.jpg";;;
304;"Ramette 500 Feuilles A4 Standard 80 g";"CONS-0005";"Format : A4 / Quantité : 500 feuilles / Masse : 80 g";"Format : A4 / Quantité : 500 feuilles / Masse : 80 g";3;4;10;"false";"buy";1;"storable";"6.99";"XOF";"5.4522";"XOF";70;"TODAY[-1M1d]";;1;6;"false";;"false";;;"1.4";"img/product/CONS-0005.jpg";;;
305;"Stylos billes medium (Bte 50)";"CONS-0006";"Couleurs disponibles : Noir, Bleu, Rouge, Vert";"Couleurs disponibles : Noir, Bleu, Rouge, Vert";;4;10;"false";"buy";1;"storable";15;"XOF";"10.8";"XOF";70;;;1;14;"false";;"false";;;"1.4";"img/product/CONS-0006.png";;1;"true"
306;"Café moulu 250g";"CONS-0007";"Origine Colombie, 100% Pur arabica";"Origine Colombie, 100% Pur arabica";;4;11;"false";"buy";1;"storable";3;"XOF";"2.49";"XOF";70;;;1;3;"true";;"true";12;;"1.4";"img/product/CONS-0007.png";;;
307;"Bouteille Eau (1,5L)";"CONS-0008";;;;4;11;"false";"buy";1;"storable";"0.9";"XOF";"0.684";"XOF";70;;;1;1;"true";;"true";12;;"1.4";"img/product/CONS-0008.jpg";;;
400;"Projet";"SERV-0001";;;;5;13;"false";;1;"service";8000;"XOF";6480;"XOF";;"TODAY[-2M1d]";;1;7200;"false";;"false";;;"1.4";"img/product/SERV-0001.jpg";"true";;
401;"Tâche";"SERV-0002";;;;5;12;"false";;1;"service";1;"XOF";1;"XOF";;"TODAY[-2M1d]";;1;1;"false";;"false";;;"1.4";"img/product/SERV-0002.jpg";"true";;
402;"Charge";"SERV-0003";;;;5;12;"false";;1;"service";100;"XOF";100;"XOF";;"TODAY[-2M1d]";;1;90;"false";;"false";;;"1.4";"img/product/SERV-0003.jpg";"true";;
410;"Chef de projet";"SERV-0004";;;;5;12;"false";;103;"service";1000;"XOF";790;"XOF";;"TODAY[-2M1d]";;2;800;"false";;"false";;;"1.4";"img/product/SERV-0004.jpg";"true";;
411;"Consultant";"SERV-0005";;;;5;12;"false";;103;"service";800;"XOF";568;"XOF";;"TODAY[-2M1d]";;2;640;"false";;"false";;;"1.4";"img/product/SERV-0005.jpg";"true";;
412;"Technicien/Opérateur Niv 1";"SERV-0006";;;;5;12;"false";;103;"service";400;"XOF";320;"XOF";;;;2;320;"false";;"false";;;"1.4";"img/product/SERV-0006.jpg";"true";;
413;"Technicien/Opérateur Niv 2";"SERV-0007";;;;5;12;"false";;103;"service";500;"XOF";380;"XOF";;;;2;400;"false";;"false";;;"1.4";"img/product/SERV-0007.jpg";"true";;
414;"Commercial";"SERV-0008";;;;5;12;"false";;103;"service";700;"XOF";525;"XOF";;;;2;560;"false";;"false";;;"1.4";"img/product/SERV-0008.png";"true";;
415;"Manager";"SERV-0009";;;;5;12;"false";;103;"service";1100;"XOF";781;"XOF";;;;2;880;"false";;"false";;;"1.4";"img/product/SERV-0009.jpg";"true";;
416;"Dirigeant";"SERV-0010";;;;5;12;"false";;103;"service";1500;"XOF";1110;"XOF";;;;2;1200;"false";;"false";;;"1.4";"img/product/SERV-0010.png";"true";;
500;"Billets de train/metro/tramway";"NDF-0001";"Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise par Train, Métro ou Tramway.";"Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise par Train, Métro ou Tramway.";;6;14;"true";;1;"service";80;"XOF";"63.2";"XOF";;;;3;72;"false";;"false";;;"1.4";"img/product/EXP-0001.jpg";;;
501;"Billets d'avion";"NDF-0002";"Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise par avion.";"Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise par avion.";;6;14;"true";;1;"service";150;"XOF";"106.5";"XOF";;;;3;135;"false";;"false";;;"1.4";"img/product/EXP-0002.jpg";;;
502;"Taxi/Location voiture";"NDF-0003";"Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise par taxi ou via un véhicule loué.";"Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise par taxi ou via un véhicule loué.";;6;14;"true";;1;"service";1;"XOF";"0.78";"XOF";;;;3;1;"false";;"false";;;"1.4";;;;
503;"Frais kilométriques";"NDF-0004";"Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise ayant utilisé leur véhicule personnel.";"Remboursement des frais de transport liés au déplacement du personnel à l'extérieur de l'entreprise ayant utilisé leur véhicule personnel.";;6;14;"true";;1;"service";1;"XOF";"0.76";"XOF";;;;3;1;"false";;"false";;;"1.4";;;;
504;"Repas";"NDF-0005";"Remboursement des frais de repas liés au déplacement du personnel à l'extérieur de l'entreprise.";"Remboursement des frais de repas liés au déplacement du personnel à l'extérieur de l'entreprise.";;6;14;"true";;1;"service";20;"XOF";15;"XOF";;;;3;18;"false";;"false";;;"1.4";"img/product/EXP-0005.jpg";;;
505;"Hôtel ( ou autres hébergements)";"NDF-0006";"Remboursement d'hébergement liés au déplacement du personnel à l'extérieur de l'entreprise.";"Remboursement d'hébergement liés au déplacement du personnel à l'extérieur de l'entreprise.";;6;14;"true";;1;"service";90;"XOF";"63.9";"XOF";;;;3;81;"false";;"false";;;"1.4";"img/product/EXP-0006.jpg";;;
600;"Produit de facture d'acompte";"PFA-0000";"Produit utilisé pour les factures d'acomptes.";;;;;;;;"service";;;;;;;;;;;;;;;;;;;
601;"Produit de facture partielle";"PFP-0000";"Produit utilisé pour les factures partielles.";;;;;;;;"service";;;;;;;;;;;;;;;;;;;
